per_name,val
5/1/2013,40
6/1/2013,43
7/1/2013,33
8/1/2013,31
9/1/2013,31
10/1/2013,36
11/1/2013,32
12/1/2013,31
1/1/2014,33
2/1/2014,35
3/1/2014,39
4/1/2014,39
5/1/2014,43
6/1/2014,38
7/1/2014,35
8/1/2014,36
9/1/2014,37
10/1/2014,38
11/1/2014,31
12/1/2014,35
1/1/2015,39
2/1/2015,45
3/1/2015,46
4/1/2015,48
5/1/2015,47
6/1/2015,44
7/1/2015,43
8/1/2015,41
9/1/2015,35
10/1/2015,39
11/1/2015,36
12/1/2015,38
1/1/2016,39
2/1/2016,45
3/1/2016,50
4/1/2016,55
5/1/2016,53
6/1/2016,50
7/1/2016,54
8/1/2016,46
9/1/2016,44
10/1/2016,46
11/1/2016,40
12/1/2016,39
1/1/2017,45
2/1/2017,51
3/1/2017,61
4/1/2017,56
5/1/2017,57
6/1/2017,56
7/1/2017,48
8/1/2017,45
9/1/2017,50
10/1/2017,49
11/1/2017,50
12/1/2017,45
1/1/2018,48
2/1/2018,54
3/1/2018,66
4/1/2018,61
5/1/2018,62
6/1/2018,56
7/1/2018,52
8/1/2018,47
9/1/2018,46
10/1/2018,43
11/1/2018,44
12/1/2018,38
1/1/2019,49
2/1/2019,57
3/1/2019,68
4/1/2019,64
5/1/2019,56
6/1/2019,66
7/1/2019,55
8/1/2019,57
9/1/2019,56
10/1/2019,55
11/1/2019,50
12/1/2019,49
1/1/2020,59
2/1/2020,63
3/1/2020,59
4/1/2020,52
5/1/2020,64
6/1/2020,79
7/1/2020,85
8/1/2020,81
9/1/2020,77
10/1/2020,78
11/1/2020,61
12/1/2020,63
1/1/2021,77
2/1/2021,70
3/1/2021,83
4/1/2021,74
5/1/2021,65
6/1/2021,61
7/1/2021,62
8/1/2021,55
9/1/2021,58
10/1/2021,51
11/1/2021,54
12/1/2021,61
1/1/2022,70
2/1/2022,71
3/1/2022,68
4/1/2022,56
5/1/2022,58
6/1/2022,48
7/1/2022,44
8/1/2022,51
9/1/2022,44
10/1/2022,43
11/1/2022,41
12/1/2022,47
1/1/2023,55
2/1/2023,56
3/1/2023,62
4/1/2023,60
5/1/2023,67
6/1/2023,58
7/1/2023,60
8/1/2023,52
9/1/2023,55
10/1/2023,50
11/1/2023,42
12/1/2023,49
1/1/2024,57
2/1/2024,60
